Task,RunStatus,ExecTime,Start_Time,Finish_Time
Cipher.DynaCardCollector,Good : 9624,17.25,"08/27/2019, 01:30:01","08/27/2019, 01:47:16"
CompressorBase_DailySummary,Good : 1310,0.13,"08/27/2019, 01:01:00","08/27/2019, 01:01:08"
DynaCardAnalysis,Good : 9624,248.27,"08/27/2019, 01:40:03","08/27/2019, 05:48:19"
ESP_CurrentValue,Good : 13755,4.02,"08/27/2019, 02:00:09","08/27/2019, 02:04:10"
ESP_CurrentValue,Good : 13755,2.72,"08/27/2019, 00:00:07","08/27/2019, 00:02:50"
ESP_CurrentValue,Good : 13755,3.05,"08/27/2019, 01:00:06","08/27/2019, 01:03:09"
ESP_CurrentValue,Good : 13755,2.87,"08/27/2019, 03:00:07","08/27/2019, 03:02:59"
ESP_CurrentValue,Good : 13755,4.22,"08/27/2019, 04:00:07","08/27/2019, 04:04:20"
ESP_CurrentValue,Good : 13755,2.95,"08/27/2019, 05:00:07","08/27/2019, 05:03:04"
ESP_CurrentValue,Good : 13755,2.82,"08/27/2019, 06:00:06","08/27/2019, 06:02:55"
ESP_CurrentValue,Good : 13755,2.92,"08/27/2019, 07:00:06","08/27/2019, 07:03:01"
ESP_CurrentValue,Good : 13754,2.72,"08/27/2019, 08:00:09","08/27/2019, 08:02:52"
ESP_CurrentValue,Good : 13755,3.92,"08/27/2019, 09:00:08","08/27/2019, 09:04:03"
ESP_CurrentValue,Good : 13754,4.98,"08/27/2019, 10:00:08","08/27/2019, 10:05:07"
ESP_CurrentValue,Good : 13754,3.47,"08/27/2019, 11:00:06","08/27/2019, 11:03:34"
ESP_CurrentValue,Good : 13754,3.57,"08/27/2019, 12:00:07","08/27/2019, 12:03:41"
ESP_CurrentValue,Good : 13753,2.75,"08/27/2019, 13:00:06","08/27/2019, 13:02:51"
ESP_CurrentValue,Good : 13754,3.22,"08/27/2019, 14:00:06","08/27/2019, 14:03:19"
ESP_CurrentValue,Good : 13754,2.83,"08/27/2019, 15:00:07","08/27/2019, 15:02:57"
ESP_CurrentValue,Good : 13753,3.4,"08/27/2019, 16:00:09","08/27/2019, 16:03:33"
ESP_CurrentValue,Good : 13754,2.72,"08/27/2019, 17:00:07","08/27/2019, 17:02:50"
ESP_CurrentValue,Good : 13754,3.52,"08/27/2019, 18:00:05","08/27/2019, 18:03:36"
ESP_CurrentValue,Good : 13754,2.83,"08/27/2019, 19:00:06","08/27/2019, 19:02:56"
ESP_CurrentValue,Good : 13754,4.47,"08/27/2019, 20:00:07","08/27/2019, 20:04:35"
ESP_CurrentValue,Good : 13754,3.22,"08/27/2019, 21:00:08","08/27/2019, 21:03:21"
ESP_CurrentValue,Good : 13754,3.7,"08/27/2019, 22:00:06","08/27/2019, 22:03:48"
ESP_CurrentValue,Good : 13753,2.82,"08/27/2019, 23:00:06","08/27/2019, 23:02:55"
ESP_DailySummary,Good : 45018,10.37,"08/27/2019, 00:15:04","08/27/2019, 00:25:26"
ESP_Exception,Good : 0,0.0,"08/27/2019, 00:05:48","08/27/2019, 00:05:48"
ESP_Exception,Good : 257,4.8,"08/27/2019, 02:06:45","08/27/2019, 02:11:33"
ESP_Exception,Good : 0,0.02,"08/27/2019, 01:05:43","08/27/2019, 01:05:44"
ESP_Exception,Good : 225,5.3,"08/27/2019, 03:10:12","08/27/2019, 03:15:30"
ESP_Exception,Good : 183,6.37,"08/27/2019, 10:08:13","08/27/2019, 10:14:35"
ESP_Exception,Good : 180,3.2,"08/27/2019, 09:06:22","08/27/2019, 09:09:34"
ESP_Exception,Good : 200,2.75,"08/27/2019, 08:05:24","08/27/2019, 08:08:09"
ESP_Exception,Good : 203,3.95,"08/27/2019, 07:05:40","08/27/2019, 07:09:37"
ESP_Exception,Good : 211,2.52,"08/27/2019, 06:05:26","08/27/2019, 06:07:57"
ESP_Exception,Good : 214,2.9,"08/27/2019, 04:08:39","08/27/2019, 04:11:33"
ESP_Exception,Good : 239,6.08,"08/27/2019, 05:05:35","08/27/2019, 05:11:40"
ESP_Exception,Good : 198,3.87,"08/27/2019, 21:06:02","08/27/2019, 21:09:54"
ESP_Exception,Good : 182,5.82,"08/27/2019, 20:07:38","08/27/2019, 20:13:27"
ESP_Exception,Good : 184,3.22,"08/27/2019, 19:05:37","08/27/2019, 19:08:50"
ESP_Exception,Good : 181,3.68,"08/27/2019, 17:05:19","08/27/2019, 17:09:00"
ESP_Exception,Good : 186,3.38,"08/27/2019, 18:06:03","08/27/2019, 18:09:26"
ESP_Exception,Good : 220,5.3,"08/27/2019, 16:06:18","08/27/2019, 16:11:36"
ESP_Exception,Good : 187,2.87,"08/27/2019, 15:05:32","08/27/2019, 15:08:24"
ESP_Exception,Good : 192,3.05,"08/27/2019, 14:06:01","08/27/2019, 14:09:04"
ESP_Exception,Good : 185,5.57,"08/27/2019, 12:06:18","08/27/2019, 12:11:52"
ESP_Exception,Good : 190,3.07,"08/27/2019, 13:05:33","08/27/2019, 13:08:37"
ESP_Exception,Good : 180,3.07,"08/27/2019, 11:06:17","08/27/2019, 11:09:21"
ESP_Exception,Good : 209,6.68,"08/27/2019, 22:07:19","08/27/2019, 22:14:00"
ESP_Exception,Good : 209,4.83,"08/27/2019, 23:06:15","08/27/2019, 23:11:05"
ESP_HourlySummary,Good : 10189,2.63,"08/27/2019, 11:03:37","08/27/2019, 11:06:15"
ESP_HourlySummary,Good : 10179,2.55,"08/27/2019, 12:03:44","08/27/2019, 12:06:17"
ESP_HourlySummary,Good : 10206,2.62,"08/27/2019, 13:02:54","08/27/2019, 13:05:31"
ESP_HourlySummary,Good : 10187,2.55,"08/27/2019, 14:03:26","08/27/2019, 14:05:59"
ESP_HourlySummary,Good : 10196,2.5,"08/27/2019, 15:03:01","08/27/2019, 15:05:31"
ESP_HourlySummary,Good : 10143,2.4,"08/27/2019, 17:02:53","08/27/2019, 17:05:17"
ESP_HourlySummary,Good : 10240,2.65,"08/27/2019, 16:03:38","08/27/2019, 16:06:17"
ESP_HourlySummary,Good : 10229,2.33,"08/27/2019, 18:03:42","08/27/2019, 18:06:02"
ESP_HourlySummary,Good : 10306,2.62,"08/27/2019, 19:02:59","08/27/2019, 19:05:36"
ESP_HourlySummary,Good : 10296,2.62,"08/27/2019, 21:03:24","08/27/2019, 21:06:01"
ESP_HourlySummary,Good : 10262,2.93,"08/27/2019, 20:04:41","08/27/2019, 20:07:37"
ESP_HourlySummary,Good : 10195,2.43,"08/27/2019, 05:03:07","08/27/2019, 05:05:33"
ESP_HourlySummary,Good : 10183,4.22,"08/27/2019, 04:04:23","08/27/2019, 04:08:36"
ESP_HourlySummary,Good : 10203,2.43,"08/27/2019, 06:02:57","08/27/2019, 06:05:23"
